road_id,road_name,road_name1,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE
R17,长岸路（北向南）,长岸路（北向南）,118.1039234,24.5487285,118.1041206,24.5479514
R18,长岸路（北向南）,长岸路（北向南）,118.1002717,24.5364307,118.0992143,24.5350966
R19,长岸路（北向南）,长岸路（北向南）,118.0992143,24.5350966,118.0989996,24.5348258
R20,长岸路（北向南）,长岸路（北向南）,118.0989996,24.5348258,118.0974131,24.5328242
R21,长岸路（北向南）,长岸路（北向南）,118.0917246,24.5247483,118.0915196,24.5238638
R22,长岸路-东渡路（北向南）,长岸路-东渡路（北向南）,118.0896421,24.5163062,118.0894832,24.5156487
R23,东渡路（北向南）,东渡路（北向南）,118.0812034,24.5012142,118.0809148,24.5005116
R24,东渡路（北向南）,东渡路（北向南）,118.080134,24.4988849,118.0800639,24.4987584
R25,东渡路（北向南）,东渡路（北向南）,118.0799027,24.4983627,118.0798543,24.4981786
R26,成功大道（南向北）,成功大道（南向北）,118.080839,24.4450943,118.0817592,24.4456019
R27,成功大道（南向北）,成功大道（南向北）,118.084445,24.4481007,118.0847883,24.4483668
R28,成功大道（南向北）,成功大道（南向北）,118.0886506,24.4498949,118.088745,24.4499139
R29,成功大道（南向北）,成功大道（南向北）,118.0938947,24.4513933,118.0955031,24.4518956
R30,成功大道（南向北）,成功大道（南向北）,118.1075863,24.4630653,118.1077472,24.463179
R31,成功大道（南向北）,成功大道（南向北）,118.1083231,24.4635169,118.1084734,24.4635763
R32,成功大道（南向北）,成功大道（南向北）,118.1272323,24.4860854,118.1277551,24.4868261
R33,成功大道（南向北）,成功大道（南向北）,118.1304777,24.4897902,118.1310675,24.4904642
R34,成功大道（南向北）,成功大道（南向北）,118.1325447,24.4986854,118.1326168,24.4991214
R35,成功大道（南向北）,成功大道（南向北）,118.1326168,24.4991214,118.1327151,24.4997163
R36,成功大道（南向北）,成功大道（南向北）,118.1333152,24.5018896,118.1333488,24.5025137
R37,成功大道（南向北）,成功大道（南向北）,118.1328684,24.5060391,118.132784,24.5065261
R38,成功大道（南向北）,成功大道（南向北）,118.1326856,24.5075877,118.1325501,24.5094938
R39,成功大道（南向北）,成功大道（南向北）,118.1322733,24.5173631,118.1322358,24.5188082
R40,成功大道（南向北）,成功大道（南向北）,118.1318891,24.5200998,118.1314253,24.5207862
R41,成功大道（南向北）,成功大道（南向北）,118.1304376,24.5217452,118.1295445,24.5224779
R42,成功大道（南向北）,成功大道（南向北）,118.1252779,24.5260788,118.1248423,24.5264255
R43,成功大道（南向北）,成功大道（南向北）,118.1211693,24.5285469,118.1201535,24.5290312
R44,成功大道（南向北）,成功大道（南向北）,118.1181843,24.5300786,118.1179239,24.5302246
R45,成功大道（南向北）,成功大道（南向北）,118.1179239,24.5302246,118.1170507,24.5307172
R46,嘉禾路右转成功大道,嘉禾路右转成功大道,118.1161969,24.5312673,118.1144366,24.5323318
R61,仙岳路（东向西）,仙岳路（东向西）,118.1801941,24.5171841,118.1793727,24.5158062
R63,仙岳路（东向西）,仙岳路（东向西）,118.1772302,24.5124347,118.1769869,24.5121516
R64,仙岳路（东向西）,仙岳路（东向西）,118.1748864,24.5105911,118.1740749,24.5101352
R65,仙岳路（东向西）,仙岳路（东向西）,118.165314,24.506548,118.1636474,24.5054685
