LATITUDE,LONGITUDE
24.51174495,118.1405417
24.46458334,118.0873647
24.47919132,118.1257405
24.46497168,118.0273204
24.47140982,118.1166219
24.49363331,118.13553
24.49309524,118.1009264
24.51994302,118.1330636
24.47733206,118.1538491
24.49787554,118.1137615
24.45719905,118.0702768
24.48801583,118.1618927
24.51302035,118.1352212
22.79924995,124.0355532
24.51127055,118.1757836
24.49952101,118.1353576
24.52243537,117.9219584
24.47247196,118.088948
24.47417447,118.1034554
24.48478379,118.1033711
24.48768257,118.0972221
24.49835316,118.1457444
24.47944833,118.113273
24.46891258,118.0893058
24.50720636,118.1518339
24.50678705,118.1703541
24.46644126,118.0732777
24.587357,118.0971855
24.49932929,118.1278181
24.47889231,118.1465372
24.50587299,118.144907
24.47601413,118.1613083
24.46143301,118.091576
24.47076743,118.1085368
24.49137481,118.1487118
24.52807815,118.0985096
24.4811002118.10430589,
24.51335858,118.1502611
24.43391557,118.1039849
24.4825756118.14942385,
24.45741453,118.0772892
24.497634,118.1359238
24.47772984,118.184222
24.51826183,118.1101575
24.51503153,118.1212628
24.48181677,118.15559
24.48044116,118.1742286
24.5476671118.10515098,
24.46485134,118.078031
24.47400265,118.1210451
24.51066774,118.1148687
24.48873171,118.1518747
24.44791976,118.1529131
24.50020435,118.1405635
24.50527101,118.1632465
24.47923036,118.13113
24.47868258,118.1409154
24.50851556,118.1168008
24.49458037,118.1240493
24.51909103,118.1560882
24.51620743,118.1449088
24.4820838118.16737708,
24.49570317,118.1336132
24.53667152,118.1283741
24.47069527,118.1050396
24.44051825,118.0879033
24.49502749,118.1418498
24.48617879,118.1823286
24.54076189,118.1618791
24.44535527,118.0827981
24.51346793,118.1553533
24.4960815118.11083909,
24.50782307,118.1830946
25.367055,102.7064815
24.5414514118.15589334,
24.47641321,118.0946039
24.5292466118.10310096,
24.47431476,118.1088408
24.5308057118.15815251,
24.48101873,118.1156868
24.4867429118.15772052,
24.50011535,118.1191185
24.51218227,118.1649856
24.47914596,118.082127
24.54676809,118.1441894
23.5521645120.39733567,
24.55293789,118.1205872
24.47983497,118.1362248
24.46095756,118.1093518
24.46878636,118.100557
24.47626871,118.1687109
24.49007254,118.0907915
24.52282864,118.1268615
24.48640302,118.1906552
25.12137777,118.7175552
24.49268904,118.1610506
24.51719488,118.1812014
24.51722342,118.0939124
24.4905485118.11743975,
24.45223804,118.0743217
24.51224768,118.1878685
24.47954369,118.1206298
24.49538691,118.1188158
24.49909715,118.0817998
24.50040898,118.1503063
24.48781541,118.1327539
24.45827266,118.0868996
24.50690475,118.1255864
24.52973773,118.1353408
24.4831709118.11609479,
24.53250212,118.1457781
24.48030563,118.0771726
24.47671878,118.1153105
24.49800621,118.1893331
24.63662567,118.2421182
24.5099104118.16857579,
24.62463185,118.127644
24.45194776,118.0779809
24.50464113,118.1395953
24.49217001,118.1113595
24.4902479118.10645328,
24.48589707,118.1194976
24.52963653,118.1093825
24.5243225118.17996156,
24.53052269,118.1842122
24.47137414,118.1703515
24.57567241,118.2366353
24.50929909,118.1299842
24.49957638,118.18472
24.45557413,118.0821702
24.47625892,118.0993414
24.52434723,118.1469835
24.48058872,118.1614124
24.50301515,118.1223846
24.49304431,118.1387031
24.5013757118.12547872,
24.50219437,118.1297622
24.50656301,118.0963911
24.46957335,118.0853768
24.49440797,118.1158345
24.49524485,118.1683915
24.48717884,118.1702886
24.48347579,118.1080353
24.4854159118.13804747,
24.49187554,118.0940876
24.49601602,118.1284115
24.49883772,118.1222586
24.4984283118.10707263,
24.46833274,118.0817132
24.57340963,118.0476419
24.48885154,118.1550027
24.48748039,118.1251167
24.48784552,118.0745394
24.47275588,118.1112012
24.54400817,118.1125355
24.43849354,118.114471
24.46421413,118.0697416
24.70817831,118.1370636
24.46174859,118.0746904
24.5301304118.12619868,
24.50832036,118.1106058
24.60102247,118.0044308
24.46046668,118.0675493
21.96826379,119.1868525
24.46372937,118.1757078
24.50284801,118.169892
24.50918475,118.1730655
24.50488621,118.1550576
24.50620983,118.1744149
24.49534109,118.106723
24.49048726,118.1215039
24.46428561,118.0973896
24.47255565,118.0937172
24.42960012,118.1190226
24.49638921,118.1483467
24.49114611,118.1269805
24.4978742118.08651334,
24.48872763,118.1095406
24.46678168,118.1621389
24.63447786,118.0700672
24.52939746,118.0024345
24.54761304,118.1142365
24.48344865,118.1117018
24.5400001118.1119739,
24.52214343,118.0989453
24.47773809,118.1094378
24.48727184,118.1151409
24.47467497,118.1138369
24.5271641118.1657004,
24.50876203,118.1058837
24.49501331,118.0368199
24.46814996,118.0945935
28.1679306116.8004638,
24.50984453,118.0909478
24.50255625,118.1361271
24.48307764,118.088593
24.46918816,118.1120702
24.46470645,118.0823043
24.47604901,118.1258815
